City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Kumluca,TR,87.62,clear sky,36.3703,30.2869,TurkuazKöy
300,Lekoni,GA,86.97,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
303,Birjand,IR,88.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
307,Veraval,IN,81.14,overcast clouds,20.9,70.3667,Lords Inn Somnath
309,Shido,JP,82.4,moderate rain,34.3233,134.1733,スペースインピア
310,Manhush,UA,77.41,overcast clouds,47.0558,37.3107,Goose Family House
312,Bocaiuva,BR,76.71,few clouds,-17.1078,-43.815,Hotel Maxim's
313,Emba,KZ,79.34,few clouds,48.8264,58.1442,
315,Marakkanam,IN,85.96,broken clouds,12.2,79.95,OYO 73765 Ocean Breeze Guest House
316,Las Tunas,CU,89.73,clear sky,20.9617,-76.9511,Hotel Cadillac
322,Natal,BR,81.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
324,Bubaque,GW,79.99,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
328,Karaton,ID,80.76,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
331,Tukrah,LY,84.04,clear sky,32.5341,20.5791,Lokta restaurant
333,Kavieng,PG,81.19,light rain,-2.5744,150.7967,Nusa Island Retreat
335,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
337,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
350,Muret,FR,77.76,overcast clouds,43.3333,1.25,Logis Hôtel l'Arche de Noé
352,Manggar,ID,82.13,overcast clouds,-2.8833,108.2667,Guest Hotel
361,Sigli,ID,79.2,overcast clouds,5.3848,95.9609,Losmen Dua Mali
362,Garowe,SO,88.14,broken clouds,8.4054,48.4845,Curubo Hotel
365,Dingle,PH,76.51,light rain,10.9995,122.6711,SEGAYA PROPERTY
370,Labuhan,ID,79.47,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
371,Tomigusuku,JP,81.14,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
372,Locri,IT,89.55,clear sky,38.2414,16.2623,Grand Hotel President
374,Witu,KE,78.96,few clouds,-2.3889,40.4382,
377,Meulaboh,ID,80.33,light rain,4.1363,96.1285,Kost Pria
378,Impfondo,CG,81.5,light rain,1.6381,18.0667,Auberge La Place de Jules
381,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
383,Salalah,OM,78.89,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
386,San Fernando,PH,82.42,overcast clouds,15.0286,120.6898,Maharlika Hostel
387,Elizabethtown,US,84.74,clear sky,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
388,Sitapur,IN,80.67,overcast clouds,27.5667,80.6833,ANNPURNA AWADHESH NANDAN SADAN (अन्नपूर्णा अवधेश नंदन सदन)
391,Laguna,US,82.9,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
392,Utete,TZ,75.76,broken clouds,-7.986,38.758,River View Lodge
393,Yamasaki,JP,77.41,heavy intensity rain,35.0,134.55,Izawa village
398,Krasnyy Kut,RU,85.91,overcast clouds,50.95,46.9667,Yubileynaya
399,Marsh Harbour,BS,84.15,few clouds,26.5412,-77.0636,Abaco Beach Resort
401,Bethel,US,79.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
402,Korla,CN,83.62,overcast clouds,41.7597,86.1469,Gulisitan Hotel
